City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Burgthann,DE,73.4,moderate rain,49.352,11.3115,Feucht
2,Hilo,US,84.27,scattered clouds,19.7297,-155.09,Hilo
5,Butaritari,KI,81.18,moderate rain,3.0707,172.7902,Ukiangang
8,Keti Bandar,PK,82.94,overcast clouds,24.1447,67.4497,Keti Bandar
10,Kuala Kedah,MY,80.58,few clouds,6.1,100.3,Alor Setar
14,Gorom-Gorom,BF,83.17,overcast clouds,14.4439,-0.2361,Gorom-Gorom
16,Atuona,PF,77.63,scattered clouds,-9.8,-139.0333,Atuona
19,Sidi Ali,DZ,73.26,clear sky,36.0998,0.4206,Sidi Ali
20,Changji,CN,74.19,clear sky,44.0167,87.3167,Ürümqi
28,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Wilson Hill
30,Huangpu,CN,85.8,overcast clouds,25.4433,113.1747,Shaoguan
32,Umm Kaddadah,SD,81.12,broken clouds,13.6017,26.6876,Umm Kadadda
33,Bagdarin,RU,72.27,scattered clouds,54.4333,113.6,Bagdarin
34,Rikitea,PF,73.42,light rain,-23.1203,-134.9692,Rikitea
41,Kirakira,SB,85.59,scattered clouds,-10.4544,161.9205,Arohane
42,Jamestown,US,82.02,clear sky,42.097,-79.2353,Jamestown
44,Ribeira Grande,PT,72.63,clear sky,38.5167,-28.7,Horta
47,Tautira,PF,76.39,light rain,-17.7333,-149.15,Tautira
48,Zarand,IR,75.99,clear sky,30.8127,56.564,Zarand
50,Kieta,PG,84.16,broken clouds,-6.2167,155.6333,Kieta
59,Bethel,US,82.6,clear sky,41.3712,-73.414,Danbury
61,Dingle,PH,84.92,overcast clouds,10.9995,122.6711,Pototan
64,Kahului,US,83.97,scattered clouds,20.8947,-156.47,Kahului
65,Norman Wells,CA,75.24,broken clouds,65.282,-126.8329,Norman Wells
79,Krabi,TH,82.06,few clouds,8.0726,98.9105,Pak Nam
81,Tambopata,PE,72.73,clear sky,-12.7333,-69.1833,Chonta
82,Baruun-Urt,MN,78.67,clear sky,46.6806,113.2792,Baruun-Urt
84,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,San Cristobal
86,Bogande,BF,79.02,broken clouds,12.9714,-0.1436,Bogande
87,Son La,VN,74.89,overcast clouds,21.3167,103.9,Sơn La
89,Fatehabad,IN,76.98,overcast clouds,29.5167,75.45,Fatehabad
90,Naze,JP,85.12,broken clouds,28.3667,129.4833,Amami
95,Palmer,US,83.07,clear sky,42.1584,-72.3287,Palmer
98,Namtsy,RU,80.28,light rain,62.7161,129.6658,Namtsy
109,Japura,ID,79.03,broken clouds,-0.3167,102.35,Djapoera
112,Vaini,TO,78.96,few clouds,-21.2,-175.2,Nukuhetulu
113,Luganville,VU,83.75,few clouds,-15.5333,167.1667,Luganville
114,Banda Aceh,ID,84.9,broken clouds,5.5577,95.3222,Banda Aceh
119,Pocone,BR,72.82,broken clouds,-16.2567,-56.6228,Poconé
121,Xiazhen,CN,80.73,few clouds,34.8022,117.1117,Jining
125,Kantunilkin,MX,79.99,few clouds,21.0917,-87.45,Kantunilkín
131,Amarkantak,IN,72.63,moderate rain,22.6667,81.75,Gaurella
133,Minuri,PH,85.44,light rain,16.535,121.8574,Jones
135,Santa Isabel Do Rio Negro,BR,72.61,overcast clouds,-0.4139,-65.0192,Santa Isabel do Rio Negro
141,Felanitx,ES,79.14,clear sky,39.4696,3.1483,Felanitx
142,Bandarbeyla,SO,74.61,clear sky,9.4942,50.8122,Bandarbeyla
143,Meulaboh,ID,79.99,overcast clouds,4.1363,96.1285,Meulaboh
144,Manokwari,ID,82.81,broken clouds,-0.8667,134.0833,Manokwari
145,Fare,PF,77.63,light rain,-16.7,-151.0167,Fare
146,Sao Filipe,CV,75.52,broken clouds,14.8961,-24.4956,Sao Filipe
148,Milos,GR,73.8,clear sky,36.75,24.4333,Adamantas
149,Tomatlan,MX,83.01,broken clouds,19.9333,-105.25,Tomatlán
152,Tenenkou,ML,77.56,overcast clouds,14.4572,-4.9169,Tenenkou
157,Manoel Urbano,BR,72.28,clear sky,-8.8389,-69.2597,Manoel Urbano
159,Huron,US,81.16,clear sky,41.1501,-82.5499,Olena
163,Port Blair,IN,78.84,moderate rain,11.6667,92.75,Port Blair
167,Wakema,MM,81.46,moderate rain,16.6,95.1833,Wakema
170,Bengkulu,ID,80.44,few clouds,-3.8004,102.2655,Bengkulu
171,San Andres,CO,84.22,scattered clouds,12.5847,-81.7006,San Andrés
178,Hithadhoo,MV,79.7,light rain,-0.6,73.0833,Addu City
180,Puerto Colombia,CO,80.69,broken clouds,10.9878,-74.9547,Sabanilla Montecarmelo
181,Bonfim,BR,75.18,broken clouds,3.0833,-59.95,Bonfim
182,Sabha,LY,78.03,clear sky,27.0377,14.4283,Sabhā
184,Berdigestyakh,RU,74.35,light rain,62.0989,126.6992,Berdigestyakh
189,Chake Chake,TZ,72.97,few clouds,-5.2459,39.7666,Chake Chake
190,Nioki,CD,73.38,clear sky,-2.7167,17.6833,Nioki
192,Lufilufi,WS,85.78,few clouds,-13.8745,-171.5986,Lufi-lufi
194,Tumpat,MY,80.58,few clouds,6.1978,102.171,Tumpat
198,Tayu,ID,81.84,clear sky,-6.5397,111.0518,Taju
203,Kattivakkam,IN,81.07,overcast clouds,13.2167,80.3167,Chennai
206,Hobyo,SO,74.7,scattered clouds,5.3505,48.5268,Hobyo
208,Ibra,OM,79.88,overcast clouds,22.6906,58.5334,Ibra
215,Mahibadhoo,MV,81.9,overcast clouds,3.7833,72.9667,Omadhoo
218,Natal,BR,75.42,broken clouds,-5.795,-35.2094,Natal
224,Sur,OM,83.39,overcast clouds,22.5667,59.5289,Sur
226,Pangkalanbuun,ID,84.06,clear sky,-2.6833,111.6167,Pangkalan Bun
227,Kavieng,PG,82.9,light rain,-2.5744,150.7967,Kavieng
228,Faanui,PF,78.1,light rain,-16.4833,-151.75,Vaitape
233,Samarai,PG,82.89,clear sky,-10.6167,150.6667,Magesina
234,Passo De Camaragibe,BR,76.55,light rain,-9.2368,-35.4901,Passo de Camaragibe
237,Sumenep,ID,82.58,few clouds,-7.0167,113.8667,Sumenep
