City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Burgthann,DE,73.4,moderate rain,49.352,11.3115,Hotel-Restaurant Hellmann
2,Hilo,US,84.27,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
5,Butaritari,KI,81.18,moderate rain,3.0707,172.7902,Isles Sunset Lodge
8,Keti Bandar,PK,82.94,overcast clouds,24.1447,67.4497,Haji laloo memon house
10,Kuala Kedah,MY,80.58,few clouds,6.1,100.3,Artini Homestay
13,Pimenta Bueno,BR,70.97,clear sky,-11.6725,-61.1936,Cristalina Palace Hotel
14,,,,,,,
16,Atuona,PF,77.63,scattered clouds,-9.8,-139.0333,Villa Enata
19,Sidi Ali,DZ,73.26,clear sky,36.0998,0.4206,Complexe touristique haje bezine
20,Changji,CN,74.19,clear sky,44.0167,87.3167,Lvye Holiday Resort
27,Kathmandu,NP,70.02,broken clouds,27.7167,85.3167,Hotel Shanker Kathmandu
28,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
30,Huangpu,CN,85.8,overcast clouds,25.4433,113.1747,New Era Hotel Furnishing City
32,,,,,,,
33,Bagdarin,RU,72.27,scattered clouds,54.4333,113.6,Gostevoy Dom Terem
34,Rikitea,PF,73.42,light rain,-23.1203,-134.9692,People ThankYou
35,Kapaa,US,87.78,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
41,Kirakira,SB,85.59,scattered clouds,-10.4544,161.9205,SanBiz Lodge
42,Jamestown,US,82.02,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
44,Ribeira Grande,PT,72.63,clear sky,38.5167,-28.7,Quinta da Meia Eira
47,Tautira,PF,76.39,light rain,-17.7333,-149.15,Pension Oaoa
48,Zarand,IR,75.99,clear sky,30.8127,56.564,مهمانسرای فناپ
50,Kieta,PG,84.16,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
56,,,,,,,
59,Bethel,US,82.6,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
61,Dingle,PH,84.92,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
64,Kahului,US,83.97,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
65,Norman Wells,CA,75.24,broken clouds,65.282,-126.8329,Heritage Hotel
67,Caravelas,BR,70.2,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
68,Reconquista,AR,70.5,overcast clouds,-29.15,-59.65,Grand Hotel
70,,,,,,,
79,Krabi,TH,82.06,few clouds,8.0726,98.9105,Tharapark View Hotel
81,Tambopata,PE,72.73,clear sky,-12.7333,-69.1833,Enashawa Lodge
82,Baruun-Urt,MN,78.67,clear sky,46.6806,113.2792,Ахмадын амралт сувилал
84,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Pirineos
86,Bogande,BF,79.02,broken clouds,12.9714,-0.1436,Auberge Wendkouni
87,Son La,VN,74.89,overcast clouds,21.3167,103.9,Galaxy Grand Hotel
89,Fatehabad,IN,76.98,overcast clouds,29.5167,75.45,Duke Hotel & Restaurant
90,Naze,JP,85.12,broken clouds,28.3667,129.4833,Shishime Hotel
95,Palmer,US,83.07,clear sky,42.1584,-72.3287,Wedgewood Motel
96,Nizhnyaya Poyma,RU,70.14,few clouds,56.1622,97.1933,Gostinitsa
98,Namtsy,RU,80.28,light rain,62.7161,129.6658,"""Эңсиэли Киин"""
99,Avarua,CK,71.65,light rain,-21.2078,-159.775,Paradise Inn
103,Rancho Palos Verdes,US,86.07,few clouds,33.7445,-118.387,Terranea Resort
106,,,,,,,
109,Japura,ID,79.03,broken clouds,-0.3167,102.35,Rumah mbah Jamah
112,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
113,Luganville,VU,83.75,few clouds,-15.5333,167.1667,The Espiritu Hotel
114,Banda Aceh,ID,84.9,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
115,Lengshuijiang,CN,87.85,overcast clouds,27.6881,111.4294,Sheraton
116,Victoria,HK,89.96,few clouds,22.2855,114.1577,Mini Central
119,Pocone,BR,72.82,broken clouds,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
121,Xiazhen,CN,80.73,few clouds,34.8022,117.1117,Xinjiayuan Hotel
122,Yazoo City,US,86.7,few clouds,32.8551,-90.4056,Hampton Inn Yazoo City
123,Bumba,CD,69.89,light rain,2.1833,22.4667,Père Carlos
124,Arraial Do Cabo,BR,70.2,few clouds,-22.9661,-42.0278,Pousada Porto Praia
125,Kantunilkin,MX,79.99,few clouds,21.0917,-87.45,Posada Paraiso
131,Amarkantak,IN,72.63,moderate rain,22.6667,81.75,STARiHOTELS Amarkantak Madhya Pradesh
133,,,,,,,
134,Kadoma,JP,89.19,broken clouds,34.7333,135.5833,Hotel Agora Osaka Moriguchi
135,Santa Isabel Do Rio Negro,BR,72.61,overcast clouds,-0.4139,-65.0192,Hotel GSA
136,Lagoa,PT,70.97,clear sky,39.05,-27.9833,Casa Das Faias
141,Felanitx,ES,79.14,clear sky,39.4696,3.1483,Petit Hotel Hostatgeria Sant Salvador
142,Bandarbeyla,SO,74.61,clear sky,9.4942,50.8122,JABIR HOTEL
143,Meulaboh,ID,79.99,overcast clouds,4.1363,96.1285,Kost Pria
144,Manokwari,ID,82.81,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
145,Fare,PF,77.63,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
146,Sao Filipe,CV,75.52,broken clouds,14.8961,-24.4956,Hotel Xaguate
148,Milos,GR,73.8,clear sky,36.75,24.4333,Ξενοδοχείο Αγνάντι
149,Tomatlan,MX,83.01,broken clouds,19.9333,-105.25,El Salvial
152,,,,,,,
157,Manoel Urbano,BR,72.28,clear sky,-8.8389,-69.2597,Baixada Beira Rio
158,Fairbanks,US,69.76,broken clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
159,Huron,US,81.16,clear sky,41.1501,-82.5499,Meadow Brook Mobile Estates
163,Port Blair,IN,78.84,moderate rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
164,Ponta Do Sol,PT,70.72,few clouds,32.6667,-17.1,Hotel do Campo
167,Wakema,MM,81.46,moderate rain,16.6,95.1833,Aung Kaday Hotel
168,Shingu,JP,87.67,scattered clouds,33.7333,135.9833,Shingu UI Hotel
170,Bengkulu,ID,80.44,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
171,San Andres,CO,84.22,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
176,Scottsboro,US,89.69,scattered clouds,34.6723,-86.0341,Budget Inn
178,Hithadhoo,MV,79.7,light rain,-0.6,73.0833,Scoop Guest House
180,Puerto Colombia,CO,80.69,broken clouds,10.9878,-74.9547,Hotel El Emigrante
181,,,,,,,
182,Sabha,LY,78.03,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
184,,,,,,,
185,Pontes E Lacerda,BR,69.66,clear sky,-15.2261,-59.3353,Hotel Bressan
189,Chake Chake,TZ,72.97,few clouds,-5.2459,39.7666,Hotel Archipelago
190,,,,,,,
192,Lufilufi,WS,85.78,few clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
194,Tumpat,MY,80.58,few clouds,6.1978,102.171,Baan Tanyong B&B
195,,,,,,,
