City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Vaini,-21.2,-175.2,80.76,78,20,9.22,TO,2022-07-21 00:41:33
1,Marsh Harbour,26.5412,-77.0636,82.67,75,3,11.88,BS,2022-07-21 00:41:33
2,Qaanaaq,77.484,-69.3632,39.99,84,100,4.5,GL,2022-07-21 00:41:33
3,Kondinskoye,59.6481,67.41,59.63,93,95,5.59,RU,2022-07-21 00:41:34
4,Davila,18.4726,120.5763,85.98,72,21,1.63,PH,2022-07-21 00:41:34
5,Te Anau,-45.4167,167.7167,42.55,83,93,2.3,NZ,2022-07-21 00:41:34
6,Port Lincoln,-34.7333,135.8667,55.29,67,0,13.22,AU,2022-07-21 00:41:35
7,Sakakah,29.9697,40.2064,94.57,18,54,10.09,SA,2022-07-21 00:41:35
8,East London,-33.0153,27.9116,60.6,85,47,7.83,ZA,2022-07-21 00:41:36
9,Menongue,-14.6585,17.691,48.45,51,13,3.91,AO,2022-07-21 00:41:36
10,Tasiilaq,65.6145,-37.6368,37.56,77,100,3.78,GL,2022-07-21 00:41:36
11,Saint Anthony,45.0205,-93.218,87.42,45,40,19.57,US,2022-07-21 00:41:36
12,Olafsvik,64.8945,-23.7142,50.2,72,80,8.28,IS,2022-07-21 00:41:37
13,Hithadhoo,-0.6,73.0833,79.99,77,98,6.2,MV,2022-07-21 00:41:37
14,Sao Desiderio,-12.3633,-44.9733,69.01,48,2,5.28,BR,2022-07-21 00:41:37
15,Port Alfred,-33.5906,26.891,56.17,97,98,1.01,ZA,2022-07-21 00:41:38
16,Bom Jesus,-9.0744,-44.3586,69.51,47,2,2.17,BR,2022-07-21 00:41:38
17,Salalah,17.0151,54.0924,75.29,100,100,5.75,OM,2022-07-21 00:41:39
18,Lata,40.1629,-8.3327,59.72,86,0,2.28,PT,2022-07-21 00:36:40
19,Whitehorse,60.7161,-135.0538,51.82,84,100,12.66,CA,2022-07-21 00:41:39
20,Arraial Do Cabo,-22.9661,-42.0278,70.07,85,2,11.63,BR,2022-07-21 00:41:39
21,Georgetown,5.4112,100.3354,81.9,89,20,2.3,MY,2022-07-21 00:41:40
22,Harper,4.375,-7.7169,74.64,70,99,8.55,LR,2022-07-21 00:40:01
23,Diphu,25.8333,93.4333,77.92,95,100,0.98,IN,2022-07-21 00:41:40
24,Longyearbyen,78.2186,15.6401,51.64,82,40,12.66,SJ,2022-07-21 00:41:41
25,Hermanus,-34.4187,19.2345,49.44,78,0,6.15,ZA,2022-07-21 00:41:41
