City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Burgthann,DE,49.352,11.3115,73.4,98,99,3.85,moderate rain
1,Nampula,MZ,-15.1165,39.2666,60.75,94,0,5.75,clear sky
2,Hilo,US,19.7297,-155.09,84.27,81,41,5.01,scattered clouds
3,Punta Arenas,CL,-53.15,-70.9167,30.31,93,20,13.8,few clouds
4,Ushuaia,AR,-54.8,-68.3,29.86,93,100,17.27,snow
5,Butaritari,KI,3.0707,172.7902,81.18,78,98,9.04,moderate rain
6,Sechura,PE,-5.5569,-80.8222,63.23,80,12,13.82,few clouds
7,Narsaq,GL,60.9167,-46.05,48.42,97,44,3.98,scattered clouds
8,Keti Bandar,PK,24.1447,67.4497,82.94,85,100,18.81,overcast clouds
9,La Rioja,ES,42.25,-2.5,56.98,77,0,3.62,clear sky
10,Kuala Kedah,MY,6.1,100.3,80.58,89,20,4.61,few clouds
11,Tiksi,RU,71.6872,128.8694,41.41,81,18,22.15,few clouds
12,Mahebourg,MU,-20.4081,57.7,66.49,82,75,12.66,broken clouds
13,Pimenta Bueno,BR,-11.6725,-61.1936,70.97,47,6,2.08,clear sky
14,Gorom-Gorom,BF,14.4439,-0.2361,83.17,59,89,9.84,overcast clouds
15,Pangnirtung,CA,66.1451,-65.7125,45.52,87,100,0.78,overcast clouds
16,Atuona,PF,-9.8,-139.0333,77.63,75,48,14.16,scattered clouds
17,Mataura,NZ,-46.1927,168.8643,45.48,78,100,4.27,overcast clouds
18,Yellowknife,CA,62.456,-114.3525,68.52,40,75,10.36,broken clouds
19,Sidi Ali,DZ,36.0998,0.4206,73.26,86,0,3.53,clear sky
20,Changji,CN,44.0167,87.3167,74.19,33,0,15.66,clear sky
21,Hermanus,ZA,-34.4187,19.2345,49.23,78,0,5.26,clear sky
22,Strezhevoy,RU,60.7333,77.5889,63.9,62,99,3.62,overcast clouds
23,Te Anau,NZ,-45.4167,167.7167,42.73,85,95,2.89,overcast clouds
24,Mulege,MX,26.8833,-111.9833,92.39,41,1,6.33,clear sky
25,Ostrovnoy,RU,68.0531,39.5131,48.94,93,33,3.2,scattered clouds
26,Usinsk,RU,65.9939,57.5281,63.99,66,99,7.92,overcast clouds
27,Kathmandu,NP,27.7167,85.3167,70.02,100,75,0.0,broken clouds
28,Bathsheba,BB,13.2167,-59.5167,81.21,95,40,16.11,scattered clouds
29,Cidreira,BR,-30.1811,-50.2056,61.43,94,3,14.79,clear sky
30,Huangpu,CN,25.4433,113.1747,85.8,71,95,4.79,overcast clouds
31,Bluff,NZ,-46.6,168.3333,45.81,69,100,7.7,overcast clouds
32,Umm Kaddadah,SD,13.6017,26.6876,81.12,59,72,11.23,broken clouds
33,Bagdarin,RU,54.4333,113.6,72.27,59,37,3.83,scattered clouds
34,Rikitea,PF,-23.1203,-134.9692,73.42,77,0,6.76,light rain
35,Kapaa,US,22.0752,-159.319,87.78,69,40,17.27,scattered clouds
36,Castro,BR,-24.7911,-50.0119,55.78,93,4,4.07,clear sky
37,Qaanaaq,GL,77.484,-69.3632,39.94,83,100,5.08,overcast clouds
38,Husavik,IS,66.0449,-17.3389,45.5,88,73,1.59,broken clouds
39,Carndonagh,IE,55.25,-7.2667,51.39,95,100,7.0,overcast clouds
40,Ketchikan,US,55.3422,-131.6461,57.67,77,100,8.05,overcast clouds
41,Kirakira,SB,-10.4544,161.9205,85.59,69,27,8.57,scattered clouds
42,Jamestown,US,42.097,-79.2353,82.02,67,0,9.22,clear sky
43,Saskylakh,RU,71.9167,114.0833,54.14,52,52,18.05,broken clouds
44,Ribeira Grande,PT,38.5167,-28.7,72.63,85,8,2.01,clear sky
45,Beloha,MG,-25.1667,45.05,60.17,63,0,6.64,clear sky
46,Silute,LT,55.3489,21.4831,58.32,83,46,4.65,scattered clouds
47,Tautira,PF,-17.7333,-149.15,76.39,73,22,9.01,light rain
48,Zarand,IR,30.8127,56.564,75.99,16,0,4.25,clear sky
49,Quatre Cocos,MU,-20.2078,57.7625,66.31,71,91,20.65,light rain
50,Kieta,PG,-6.2167,155.6333,84.16,68,51,3.98,broken clouds
51,Comodoro Rivadavia,AR,-45.8667,-67.5,39.06,48,0,26.46,clear sky
52,Thompson,CA,55.7435,-97.8558,64.56,82,75,8.05,broken clouds
53,Tasiilaq,GL,65.6145,-37.6368,37.56,78,100,4.29,overcast clouds
54,Port Alfred,ZA,-33.5906,26.891,56.17,97,99,1.01,overcast clouds
55,Saint George,US,37.1041,-113.5841,106.39,16,0,13.8,clear sky
56,Araouane,ML,18.9048,-3.5265,86.4,50,13,1.81,light rain
57,Henties Bay,NA,-22.116,14.2845,54.1,86,0,3.18,clear sky
58,Saint-Philippe,RE,-21.3585,55.7679,67.59,79,47,14.63,light rain
59,Bethel,US,41.3712,-73.414,82.6,75,0,5.03,clear sky
60,Haines Junction,CA,60.7522,-137.5108,54.48,55,91,6.11,overcast clouds
61,Dingle,PH,10.9995,122.6711,84.92,74,100,3.24,overcast clouds
62,Mar Del Plata,AR,-38.0023,-57.5575,58.08,65,0,11.01,clear sky
63,Busselton,AU,-33.65,115.3333,59.56,77,59,15.86,light rain
64,Kahului,US,20.8947,-156.47,83.97,54,40,25.32,scattered clouds
65,Norman Wells,CA,65.282,-126.8329,75.24,35,75,8.05,broken clouds
66,Saint-Augustin,CA,51.226,-58.6502,55.22,88,100,15.99,overcast clouds
67,Caravelas,BR,-17.7125,-39.2481,70.2,80,0,5.93,clear sky
68,Reconquista,AR,-29.15,-59.65,70.5,90,100,4.52,overcast clouds
69,Cape Town,ZA,-33.9258,18.4232,56.37,77,0,5.75,clear sky
70,Albany,US,42.6001,-73.9662,86.65,65,34,3.74,scattered clouds
71,Carnarvon,AU,-24.8667,113.6333,68.07,94,100,8.05,overcast clouds
72,Longyearbyen,SJ,78.2186,15.6401,51.64,82,75,11.5,broken clouds
73,Abalak,RU,58.1286,68.5944,60.26,96,100,0.36,light rain
74,Hobart,AU,-42.8794,147.3294,49.26,78,40,8.05,scattered clouds
75,Santiago De Cao,PE,-7.9589,-79.2392,60.93,82,0,6.91,clear sky
76,Chokurdakh,RU,70.6333,147.9167,56.25,37,62,7.96,broken clouds
