City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Burgthann,DE,73.4,49.352,11.3115,Hotel-Restaurant Hellmann
2,Hilo,US,84.27,19.7297,-155.09,Hilo Hawaiian Hotel
5,Butaritari,KI,81.18,3.0707,172.7902,Isles Sunset Lodge
8,Keti Bandar,PK,82.94,24.1447,67.4497,Haji laloo memon house
10,Kuala Kedah,MY,80.58,6.1,100.3,Artini Homestay
14,,,,,,
16,Atuona,PF,77.63,-9.8,-139.0333,Villa Enata
19,Sidi Ali,DZ,73.26,36.0998,0.4206,Complexe touristique haje bezine
20,Changji,CN,74.19,44.0167,87.3167,Lvye Holiday Resort
28,Bathsheba,BB,81.21,13.2167,-59.5167,Atlantis Hotel
30,Huangpu,CN,85.8,25.4433,113.1747,New Era Hotel Furnishing City
32,,,,,,
33,Bagdarin,RU,72.27,54.4333,113.6,Gostevoy Dom Terem
34,Rikitea,PF,73.42,-23.1203,-134.9692,People ThankYou
41,Kirakira,SB,85.59,-10.4544,161.9205,SanBiz Lodge
42,Jamestown,US,82.02,42.097,-79.2353,Hampton Inn & Suites Jamestown
44,Ribeira Grande,PT,72.63,38.5167,-28.7,Quinta da Meia Eira
47,Tautira,PF,76.39,-17.7333,-149.15,Pension Oaoa
48,Zarand,IR,75.99,30.8127,56.564,مهمانسرای فناپ
50,Kieta,PG,84.16,-6.2167,155.6333,Uruna Bay Retreat
59,Bethel,US,82.6,41.3712,-73.414,Courtyard by Marriott Danbury
61,Dingle,PH,84.92,10.9995,122.6711,SEGAYA PROPERTY
64,Kahului,US,83.97,20.8947,-156.47,Maui Seaside Hotel
65,Norman Wells,CA,75.24,65.282,-126.8329,Heritage Hotel
79,Krabi,TH,82.06,8.0726,98.9105,Tharapark View Hotel
81,Tambopata,PE,72.73,-12.7333,-69.1833,Enashawa Lodge
82,Baruun-Urt,MN,78.67,46.6806,113.2792,Ахмадын амралт сувилал
84,San Cristobal,VE,75.38,7.7669,-72.225,Pirineos
86,Bogande,BF,79.02,12.9714,-0.1436,Auberge Wendkouni
87,Son La,VN,74.89,21.3167,103.9,Galaxy Grand Hotel
89,Fatehabad,IN,76.98,29.5167,75.45,Duke Hotel & Restaurant
90,Naze,JP,85.12,28.3667,129.4833,Shishime Hotel
95,Palmer,US,83.07,42.1584,-72.3287,Wedgewood Motel
98,Namtsy,RU,80.28,62.7161,129.6658,"""Эңсиэли Киин"""
99,Avarua,CK,71.65,-21.2078,-159.775,Paradise Inn
106,,,,,,
109,Japura,ID,79.03,-0.3167,102.35,Rumah mbah Jamah
112,Vaini,TO,78.96,-21.2,-175.2,Keleti Beach Resort
113,Luganville,VU,83.75,-15.5333,167.1667,The Espiritu Hotel
114,Banda Aceh,ID,84.9,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
119,Pocone,BR,72.82,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
121,Xiazhen,CN,80.73,34.8022,117.1117,Xinjiayuan Hotel
125,Kantunilkin,MX,79.99,21.0917,-87.45,Posada Paraiso
131,Amarkantak,IN,72.63,22.6667,81.75,STARiHOTELS Amarkantak Madhya Pradesh
133,,,,,,
135,Santa Isabel Do Rio Negro,BR,72.61,-0.4139,-65.0192,Hotel GSA
141,Felanitx,ES,79.14,39.4696,3.1483,Petit Hotel Hostatgeria Sant Salvador
142,Bandarbeyla,SO,74.61,9.4942,50.8122,JABIR HOTEL
143,Meulaboh,ID,79.99,4.1363,96.1285,Kost Pria
144,Manokwari,ID,82.81,-0.8667,134.0833,Swiss Belhotel Manokwari
